observation_date,IRLTLT01DEQ156N
2000-01-01,5.4603795721186996
2000-04-01,5.2650336700336702
2000-07-01,5.2466528640441696
2000-10-01,5.0837685121895602
2001-01-01,4.7494696969697001
2001-04-01,4.9582376395534302
2001-07-01,4.8842740447957800
2001-10-01,4.5943916143532499
2002-01-01,4.9810757575757600
2002-04-01,5.1134884559884597
2002-07-01,4.6140582847104596
2002-10-01,4.4256958822176200
2003-01-01,4.0451587301587297
2003-04-01,3.8596349206349201
2003-07-01,4.0913241106719402
2003-10-01,4.2884523264683505
2004-01-01,4.0648102139406497
2004-04-01,4.2210202020201999
2004-07-01,4.1112121212121204
2004-10-01,3.7515800865800895
2005-01-01,3.6016507936507902
2005-04-01,3.3042784992784999
2005-07-01,3.1686834180312400
2005-10-01,3.3414574314574299
2006-01-01,3.4770849802371600
2006-04-01,3.9393939393939399
2006-07-01,3.8825741890959296
2006-10-01,3.7574481658692198
2007-01-01,4.0022424242424197
2007-04-01,4.3305430242272402
2007-07-01,4.3425072463768100
2007-10-01,4.1925273192280894
2008-01-01,3.9266860332649798
2008-04-01,4.2541269841269802
2008-07-01,4.2623022146935199
2008-10-01,3.4959576659038900
2009-01-01,3.0726659451659399
2009-04-01,3.3258787878787901
2009-07-01,3.3020820001254800
2009-10-01,3.1882445887445900
2010-01-01,3.1765579710144900
2010-04-01,2.7806558441558402
2010-07-01,2.4221212121212101
2010-10-01,2.5977344877344901
2011-01-01,3.1424685990338199
2011-04-01,3.0974481658692201
2011-07-01,2.2621262312566701
2011-10-01,1.9346969696969700
2012-01-01,1.8344227994228000
2012-04-01,1.4205016328700499
2012-07-01,1.3581706192358400
2012-10-01,1.3674257924513700
2013-01-01,1.4700909090909100
2013-04-01,1.3402604617604601
2013-07-01,1.7295824706694300
2013-10-01,1.7456981826547100
2014-01-01,1.6076601731601701
2014-04-01,1.3493095238095201
2014-07-01,0.9973006462136910
2014-10-01,0.6996188197767150
2015-01-01,0.3064242424242420
2015-04-01,0.4901722488038280
2015-07-01,0.6575541125541130
2015-10-01,0.5266240981240981
2016-01-01,0.2582619047619050
2016-04-01,0.0834415584415584
2016-07-01,-0.1233719179371350
2016-10-01,0.1476652236652240
2017-01-01,0.2857233201581030
2017-04-01,0.2707984607984610
2017-07-01,0.3829813664596270
2017-10-01,0.3258413078149920
2018-01-01,0.5543564213564220
2018-04-01,0.4190476190476190
2018-07-01,0.3119716732542820
2018-10-01,0.3000802139037430
2019-01-01,0.0663932178932180
2019-04-01,-0.1631028708133970
2019-07-01,-0.5440378944726770
2019-10-01,-0.3737902837902840
2020-01-01,-0.4403333333333330
2020-04-01,-0.4667619047619050
2020-07-01,-0.5234892402283710
2020-10-01,-0.6135115440115440
2021-01-01,-0.4645942028985510
2021-04-01,-0.2790454545454550
2021-07-01,-0.4509090909090910
2021-10-01,-0.3007359307359310
2022-01-01,0.1056590752242930
2022-04-01,1.0480143540669900
2022-07-01,1.3039023778154200
2022-10-01,2.1127561327561399
2023-01-01,2.3155685111989501
2023-04-01,2.3593602693602702
2023-07-01,2.5545824706694300
2023-10-01,2.5088835725677798
2024-01-01,2.2853167388167401
2024-04-01,2.4832532467532502
2024-07-01,2.2777103331451198
2024-10-01,2.2380561306648299
