,unemployment,gdp,inflation,interest_rate
1975-10-01,8.4,1761.831,54.9,5.82
1976-01-01,7.9,1820.487,55.8,4.87
1976-04-01,7.7,1852.332,56.1,4.82
1976-07-01,7.8,1886.558,57.0,5.31
1976-10-01,7.7,1934.273,57.9,5.02
1977-01-01,7.5,1988.648,58.7,4.61
1977-04-01,7.2,2055.909,60.0,4.73
1977-07-01,6.9,2118.473,60.8,5.42
1977-10-01,6.8,2164.27,61.6,6.47
1978-01-01,6.4,2202.76,62.7,6.7
1978-04-01,6.1,2331.633,63.9,6.89
1978-07-01,6.2,2395.053,65.5,7.81
1978-10-01,5.8,2476.949,67.1,8.96
1979-01-01,5.9,2526.61,68.5,10.07
1979-04-01,5.8,2591.247,70.6,10.01
1979-07-01,5.7,2667.565,73.0,10.47
1979-10-01,6.0,2723.883,75.2,13.77
1980-01-01,6.3,2789.842,78.0,13.82
1980-04-01,6.9,2797.352,80.9,17.61
1980-07-01,7.8,2856.483,82.6,9.03
1980-10-01,7.5,2985.557,84.7,12.81
1981-01-01,7.5,3124.206,87.2,19.08
1981-04-01,7.2,3162.532,89.1,15.72
1981-07-01,7.2,3260.609,91.5,19.04
1981-10-01,7.9,3280.818,93.4,15.08
1982-01-01,8.6,3274.302,94.4,13.22
1982-04-01,9.3,3331.972,95.0,14.94
1982-07-01,9.8,3366.322,97.5,12.59
1982-10-01,10.4,3402.561,98.1,9.71
1983-01-01,10.4,3473.413,97.9,8.68
1983-04-01,10.2,3578.848,98.8,8.8
1983-07-01,9.4,3689.179,99.8,9.37
1983-10-01,8.8,3794.706,100.8,9.48
1984-01-01,8.0,3908.054,102.1,9.56
1984-04-01,7.7,4009.601,103.3,10.29
1984-07-01,7.5,4084.25,104.1,11.23
1984-10-01,7.4,4148.551,105.1,9.99
1985-01-01,7.3,4230.168,105.7,8.35
1985-04-01,7.3,4294.887,107.0,8.27
1985-07-01,7.4,4386.773,107.7,7.88
1985-10-01,7.1,4444.094,108.5,7.99
1986-01-01,6.7,4507.894,109.9,8.14
1986-04-01,7.1,4545.34,108.7,6.99
1986-07-01,7.0,4607.669,109.5,6.56
1986-10-01,7.0,4657.627,110.2,5.85
1987-01-01,6.6,4722.156,111.4,6.43
1987-04-01,6.3,4806.16,112.7,6.37
1987-07-01,6.1,4884.555,113.8,6.58
1987-10-01,6.0,5007.994,115.0,7.29
1988-01-01,5.7,5073.372,116.0,6.83
1988-04-01,5.4,5190.036,117.2,6.87
1988-07-01,5.4,5282.835,118.5,7.75
1988-10-01,5.4,5399.509,119.9,8.3
1989-01-01,5.4,5511.253,121.2,9.12
1989-04-01,5.2,5612.463,123.1,9.84
1989-07-01,5.2,5695.365,124.5,9.24
1989-10-01,5.3,5747.237,125.4,8.84
1990-01-01,5.4,5872.701,127.5,8.23
1990-04-01,5.4,5960.028,128.9,8.26
1990-07-01,5.5,6015.116,130.5,8.15
1990-10-01,5.9,6004.733,133.4,8.11
1991-01-01,6.4,6035.178,134.7,6.91
1991-04-01,6.7,6126.862,135.1,5.91
1991-07-01,6.8,6205.937,136.2,5.82
1991-10-01,7.0,6264.54,137.2,5.21
1992-01-01,7.3,6363.102,138.3,4.03
1992-04-01,7.4,6470.763,139.4,3.73
1992-07-01,7.7,6566.641,140.5,3.25
1992-10-01,7.3,6680.803,141.7,3.1
1993-01-01,7.3,6729.459,142.8,3.02
1993-04-01,7.1,6808.939,143.8,2.96
1993-07-01,6.9,6882.098,144.5,3.06
1993-10-01,6.8,7013.738,145.6,2.99
1994-01-01,6.6,7115.652,146.3,3.05
1994-04-01,6.4,7246.931,147.2,3.56
1994-07-01,6.1,7331.075,148.4,4.26
1994-10-01,5.8,7455.288,149.4,4.76
1995-01-01,5.6,7522.289,150.5,5.53
1995-04-01,5.8,7580.997,151.8,6.05
1995-07-01,5.7,7683.125,152.6,5.85
1995-10-01,5.5,7772.586,153.5,5.76
1996-01-01,5.6,7868.468,154.7,5.56
1996-04-01,5.6,8032.84,156.1,5.22
1996-07-01,5.5,8131.408,157.0,5.4
1996-10-01,5.2,8259.771,158.2,5.24
1997-01-01,5.3,8362.655,159.4,5.25
1997-04-01,5.1,8518.825,159.9,5.51
1997-07-01,4.9,8662.823,160.4,5.52
1997-10-01,4.7,8765.907,161.5,5.5
1998-01-01,4.6,8866.48,162.0,5.56
1998-04-01,4.3,8969.699,162.2,5.45
1998-07-01,4.5,9121.097,163.2,5.54
1998-10-01,4.5,9293.991,163.9,5.07
1999-01-01,4.3,9411.682,164.7,4.63
1999-04-01,4.3,9526.21,165.9,4.74
1999-07-01,4.3,9686.626,166.7,4.99
1999-10-01,4.1,9900.169,168.1,5.2
2000-01-01,4.0,10002.179,169.3,5.45
2000-04-01,3.8,10247.72,170.9,6.02
2000-07-01,4.0,10318.165,172.7,6.54
2000-10-01,3.9,10435.744,173.9,6.51
2001-01-01,4.2,10470.231,175.6,5.98
2001-04-01,4.4,10599.0,176.4,4.8
2001-07-01,4.6,10598.02,177.4,3.77
2001-10-01,5.3,10660.465,177.6,2.49
2002-01-01,5.7,10783.5,177.7,1.73
2002-04-01,5.9,10887.46,179.3,1.75
2002-07-01,5.8,10984.04,180.0,1.73
2002-10-01,5.7,11061.433,181.2,1.75
2003-01-01,5.8,11174.129,182.6,1.24
2003-04-01,6.0,11312.766,183.2,1.26
2003-07-01,6.2,11566.669,183.7,1.01
2003-10-01,6.0,11772.234,184.9,1.01
2004-01-01,5.7,11923.447,186.3,1.0
2004-04-01,5.6,12112.815,187.4,1.0
2004-07-01,5.5,12305.307,189.1,1.26
2004-10-01,5.5,12527.214,190.8,1.76
2005-01-01,5.3,12767.286,191.6,2.28
2005-04-01,5.2,12922.656,193.7,2.79
2005-07-01,5.0,13142.642,194.9,3.26
2005-10-01,5.0,13324.204,199.1,3.78
2006-01-01,4.7,13599.16,199.3,4.29
2006-04-01,4.7,13753.424,200.7,4.79
2006-07-01,4.7,13870.188,202.9,5.24
2006-10-01,4.4,14039.56,201.9,5.25
2007-01-01,4.6,14215.651,203.437,5.25
2007-04-01,4.5,14402.082,205.904,5.25
2007-07-01,4.7,14564.117,207.603,5.26
2007-10-01,4.7,14715.058,209.19,4.76
2008-01-01,5.0,14706.538,212.174,3.94
2008-04-01,5.0,14865.701,213.942,2.28
2008-07-01,5.8,14898.999,219.016,2.01
2008-10-01,6.5,14608.209,216.995,0.97
2009-01-01,7.8,14430.902,211.933,0.15
2009-04-01,9.0,14381.236,212.709,0.15
