date,gdp_growth,inflation,unemployment,yield_spread,recession
2020-04-01,-8.87412,0.41185,3.70638,-0.16609523809523796,1.0
2020-07-01,8.67654,-0.91653,3.949106,-0.05175312127486098,0.0
2020-10-01,0.96714,-0.50449,3.787552,-0.0908167388167389,0.0
2021-01-01,-0.61577,1.49898,4.03372,0.07785144927536203,0.0
2021-04-01,2.3505,2.19058,3.784806,0.261339321789321,0.0
2021-07-01,0.08648,3.87834,3.405494,0.094909090909091,0.0
2021-10-01,0.53764,4.70948,3.431112,0.265640629901499,0.0
2022-01-01,0.678,4.79165,3.184953,0.6346849551581439,0.0
2022-04-01,0.15175,6.65803,3.209244,1.405630781499207,0.0
2022-07-01,0.29359,7.4026,3.262516,0.8231617730095959,0.0
2022-10-01,-0.34938,8.58053,3.177502,0.34063275613276,0.0
2023-01-01,-0.47142,8.23671,3.055781,-0.3163577733860299,0.0
2023-04-01,-0.07618,6.5468,3.10563,-0.9970725369638398,0.0
2023-07-01,1e-05,5.60383,3.143899,-1.2228046928916498,0.0
2023-10-01,-0.27632,3.55466,3.278131,-1.4485724158882105,0.0
2024-01-01,-0.10748,2.51734,3.355713,-1.6382979797979798,0.0
2024-04-01,-0.25825,2.28643,3.47922,-1.3249186900056396,0.0
2024-07-01,0.01917,1.92962,3.547826,-1.2776667607754502,0.0
2024-10-01,0.18218,2.29782,3.471055,-0.7584310391701607,0.0
